Code,Site Name,Type,Description,Priority,Client,Fault/Event Start - Date/Time,Fault/Event End - Date/Time (TECHS - What time did the asset come back online?),Assets,Status,Time Spent Hours,Date Completed,Date Last Modified,Assigned Users,Date Created,Status of Work,Charge Department,Work Order Status Group,Completion Notes,Asset Production Time,Total Maint Hours Online,Point of Contact,
27600,Connley Collector Station,Preventive Maintenance Inspection,Connley Collector Station - Current Technologies ,6 - Scheduled,New Sun Energy,"Sep 18, 2023 08:54:00 AM",,Connley Collector Station (CONN.SUB),On Deck to be Scheduled,,,"Aug 22, 2023 08:54:29 AM",,"Aug 22, 2023 08:52:09 AM",,,,,,,Jordan Nance,
27939,Nitro,Corrective,"Replace severely rusting CPT boxes C4, B1 & D2",4 - Low,NESM/Radian Generation,"Sep 15, 2023 01:57:00 PM",,Inverters (NITRO-INV),On Deck to be Scheduled,,,"Sep 08, 2023 02:03:08 PM",,"Sep 08, 2023 01:55:08 PM",,(TM) Time and Materials,,,,,Forrest Huynh,
27936,,Vehicle/Equipment Maintenance,VEH 303 - Full break replacement and oil/filter change. ,6 - Scheduled,Carolina Solar Services,"Sep 15, 2023 12:14:00 PM",,Ford F350 (303)  (VEH-303),On Hold - Awaiting Third Party,,,"Sep 08, 2023 12:16:41 PM",,"Sep 08, 2023 12:12:32 PM",INCOMPLETE,(OVH) Overhead,,"2023-09-08 FHU
- NHU took vehicle into Capital Ford of Hillsborough for a break issue and oil/filter change. 
- Dealership found a seized caliper and recommended full break replacement. 
- SHA approved. ",,,Forrest Huynh,
27665,Davis Lane,Mow,Mow array and spot spray as needed,6 - Scheduled,NESM/Exus,"Sep 12, 2023 07:00:00 AM",,Davis Lane (DAVI-VMS),Open,,,"Sep 12, 2023 08:44:16 AM",Landscaping Crew East,"Aug 25, 2023 06:04:39 AM",,(OM) O&M Contract,,"2023-09-12 DPA
-Gurganus Check In 8:39 AM
-Good morning, Landon and I are checking into the Davis Lane site for the 4th mow today. Thanks!",,,Drew Parada,
27999,"Fruitland Creek Solar, LLC",Office Work,Fruitland Creek - Site Mow,6 - Scheduled,Hep Petra O&M LLC,"Sep 11, 2023 06:00:00 PM",,"Fruitland Creek Solar, LLC (FRUI)",On Deck to be Scheduled,,,"Sep 11, 2023 08:19:34 PM",,"Sep 11, 2023 08:15:49 PM",,(OM) O&M Contract,,,,,Dylan Barrett,
27996,"Railroad Solar Farm, LLC",Corrective,XFMR 1 leaking,2 - High,Alchemy Renewable Energy,"Sep 11, 2023 04:30:00 PM",,Transformer 1 (RAIL-XFMR1),On Hold - Awaiting Third Party,,,"Sep 12, 2023 08:42:23 AM",,"Sep 11, 2023 04:48:42 PM",,(TM) Time and Materials,,"2023-09-12 BDO
INVs and Weather station offline due to xfmr1 oil leak.

2023-09-11 DPA
-reached out to STC for inspection and repair quote",,,Drew Parada,
27991,Augusta,Troubleshooting Electrical Equipment,Augusta - INV A.08 - Offline (Grid Undervoltage),2 - High,Soltage,"Sep 11, 2023 09:00:00 AM",,Inverter A-08 (AUGU-INV-A08),Open,,,"Sep 12, 2023 06:21:48 AM","Juan Canahuati Sagastume, Tim Pierce","Sep 11, 2023 01:38:59 PM",,(TM) Time and Materials,,"2023-09-11 ADE
Inverter A-08 offline with Grid undervoltage alert.  Phase voltages suggest likely AC fuse or breaker operation.",,,Forrest Huynh,
27599,Rock Garden Collector Station,Corrective,Rock Garden Collector Station - Current Technologies Testing ,6 - Scheduled,New Sun Energy,"Sep 11, 2023 08:50:00 AM",,Rock Garden Collector Station (ROCK.SUB),On Deck to be Scheduled,,,"Aug 22, 2023 08:51:55 AM",,"Aug 22, 2023 08:49:15 AM",,,,,,,Jordan Nance,
27598,Starvation Ridge Collector Station,Preventive Maintenance Inspection,2023 Substation Inspection - Current Technologies,6 - Scheduled,New Sun Energy,"Sep 11, 2023 08:48:00 AM",,Starvation Ridge Collector Station (STAR.SUB),On Deck to be Scheduled,,,"Aug 22, 2023 08:48:46 AM",,"Aug 22, 2023 08:46:12 AM",,,,,,,Jordan Nance,
27988,Blackwater,Construction Oversight,Technical Inspection of Blackwater Site ,6 - Scheduled,Heelstone,"Sep 11, 2023 07:37:00 AM",,Blackwater  (Blwtr),On Deck to be Scheduled,,,"Sep 11, 2023 07:37:44 AM",,"Sep 11, 2023 07:36:24 AM",,(FX) Fixed Scope and Price,,,,,Alex Luna,
27987,Bird Dog ,Construction Oversight,Technical Inspection of Bird Dog Site ,6 - Scheduled,Heelstone,"Sep 11, 2023 07:36:00 AM",,Bird Dog (Birdg),On Deck to be Scheduled,,,"Sep 11, 2023 07:36:23 AM",,"Sep 11, 2023 07:33:05 AM",,(FX) Fixed Scope and Price,,,,,Alex Luna,
27986,Hobnail,Construction Oversight,Technical Inspection of Hobnail Site ,6 - Scheduled,Heelstone,"Sep 11, 2023 07:32:00 AM",,Hobnail (Hobil),On Deck to be Scheduled,,,"Sep 11, 2023 07:33:04 AM",,"Sep 11, 2023 07:30:31 AM",,(FX) Fixed Scope and Price,,,,,Alex Luna,
27985,Wolfskin,Construction Oversight,Technical Inspection of Wolfskin Site ,6 - Scheduled,Heelstone,"Sep 11, 2023 07:28:00 AM",,Wolfskin  (Wlfskn),On Deck to be Scheduled,,,"Sep 11, 2023 07:38:10 AM",,"Sep 11, 2023 07:27:47 AM",,(FX) Fixed Scope and Price,,,,,Alex Luna,
27693,Facile Solar,Preventive Maintenance Inspection,Facile Solar - Green Street Carolinas Annual Inspection,7 - PM Scheduled,"Green Street Carolinas, LLC","Sep 11, 2023 07:00:00 AM",,"AC Disconnect (LOY-ACD), Combiner Box 1-1B (LOY-INV1-CB1-1B), Combiner Box 1-2B (LOY-INV1-CB1-2B), Combiner Box 1-3C (LOY-INV1-CB1-3C), Combiner Box 1-4B (LOY-INV1-CB1-4B), Combiner Box 1-5A (LOY-INV1-CB1-5A), Combiner Box 1-6A (LOY-INV1-CB1-6A), Combiner Box 2-1B (LOY-INV2-CB2-1B), Combiner Box 2-2B (LOY-INV2-CB2-2B), Combiner Box 2-3B (LOY-INV2-CB2-3B), Combiner Box 2-4B (LOY-INV2-CB2-4B), Combiner Box 2-5B (LOY-INV2-CB2-5B), Combiner Box 2-6B (LOY-INV2-CB2-6B), Combiner Box 2-7B (LOY-INV2-CB2-7B), Combiner Box 3-1A (LOY-INV3-CB3-1A), Combiner Box 3-2A (LOY-INV3-CB3-2A), Combiner Box 3-3A (LOY-INV3-CB3-3A), Combiner Box 3-4A (LOY-INV3-CB3-4A), Combiner Box 3-5E (LOY-INV3-CB3-5E), Combiner Box 3-6C (LOY-INV3-CB3-6C), Combiner Box 3-7D (LOY-INV3-CB3-7D), Comibner Box 1-7B (LOY-INV1-CB1-7B), Customer MV Meter (LOY-CUST.MVM), DAS (LOY-DAS), DC Disconnect 1 (LOY-DCD1), DC Disconnect 2 (LOY-DCD2), DC Disconnect 3 (LOY-DCD3), Facile Solar (LOY), Interconnection (LOY-IX), Inverter 1 (LOY-INV1), Inverter 2 (LOY-INV2), Inverter 3 (LOY-INV3), Racking (LOY-RACK), Solar Photovoltaic Module (LOY-MOD), String Connection (LOY-STRCON), Transformer 1 (LOY-XFMR1), Transformer 2 (LOY-XFMR2), Weather Station (LOY-WEA-STA)",1. PM - Open,,,"Sep 10, 2023 05:08:11 PM","Austin Jones, Mark Nashland","Aug 28, 2023 12:09:26 AM",,(OM) O&M Contract,,,,,Forrest Huynh,
27692,"Railroad Solar Farm, LLC",Preventive Maintenance Inspection,"Railroad - Alchemy Quarterly Inspection
ALL Equipment and section 3 array",7 - PM Scheduled,Alchemy Renewable Energy,"Sep 11, 2023 07:00:00 AM",,"BOM Sensor (RAIL-MOD.TEMP), Combiner Box 1A.1 (RAIL-CB-1A.1), Combiner Box 1A.2 (RAIL-CB-1A.2), Combiner Box 1A.3 (RAIL-CB-1A.3), Combiner Box 1A.4 (RAIL-CB-1A.4), Combiner Box 1A.5 (RAIL-CB-1A.5), Combiner Box 1A.6 (RAIL-CB-1A.6), Combiner Box 1B.1 (RAIL-CB-1B.1), Combiner Box 1B.2 (RAIL-CB-1B.2), Combiner Box 1B.3 (RAIL-CB-1B.3), Combiner Box 1B.4 (RAIL-CB-1B.4), Combiner Box 1B.5 (RAIL-CB-1B.5), Combiner Box 1B.6 (RAIL-CB-1B.6), Combiner Box 2A.1 (RAIL-CB-2A.1), Combiner Box 2A.2 (RAIL-CB-2A.2), Combiner Box 2A.3 (RAIL-CB-2A.3), Combiner Box 2A.4 (RAIL-CB-2A.4), Combiner Box 2A.5 (RAIL-CB-2A.5), Combiner Box 2A.6 (RAIL-CB-2A.6), Combiner Box 2B.1 (RAIL-CB-2B.1), Combiner Box 2B.2 (RAIL-CB-2B.2), Combiner Box 2B.3 (RAIL-CB-2B.3), Combiner Box 2B.4 (RAIL-CB-2B.4), Combiner Box 2B.5 (RAIL-CB-2B.5), Combiner Box 2B.6 (RAIL-CB-2B.6), Combiner Box 3A.1 (RAIL-CB-3A.1), Combiner Box 3A.2 (RAIL-CB-3A.2), Combiner Box 3A.3 (RAIL-CB-3A.3), Combiner Box 3A.4 (RAIL-CB-3A.4), Combiner Box 3A.5 (RAIL-CB-3A.5), Combiner Box 3A.6 (RAIL-CB-3A.6), Combiner Box 3B.1 (RAIL-CB-3B.1), Combiner Box 3B.2 (RAIL-CB-3B.2), Combiner Box 3B.3 (RAIL-CB-3B.3), Combiner Box 3B.4 (RAIL-CB-3B.4), Combiner Box 3B.5 (RAIL-CB-3B.5), Combiner Box 3B.6 (RAIL-CB-3B.6), Inverter 1A (RAIL-INV1A), Inverter 1B (RAIL-INV1B), Inverter 2A (RAIL-INV2A), Inverter 2B (RAIL-INV2B), Inverter 3A (RAIL-INV3A), Inverter 3B (RAIL-INV3B), Railroad (RAIL), Solar Photovoltaic Module (RAIL-MOD), String Connection (RAIL-STRCON), Transformer 1 (RAIL-XFMR1), Transformer 2 (RAIL-XFMR2), Transformer 3 (RAIL-XFMR3), Weather Station (RAIL-WEA.STA)",1. PM - Open,,,"Sep 11, 2023 08:07:32 AM",Darius Webb,"Aug 28, 2023 12:09:25 AM",,(OM) O&M Contract,,,,,Drew Parada,
27998,Bartow,Troubleshooting Electrical Equipment,Bartow - INV 1B.3 - Offline (Grid Phase Voltage Out of Range - GridV.OutLim),3 - Medium,Alchemy Renewable Energy,"Sep 10, 2023 03:10:00 PM",,Inverter 1B-3 (BART-INV-1B-3),On Hold - Waiting for Client Approval,,,"Sep 11, 2023 05:16:44 PM",,"Sep 11, 2023 05:11:53 PM",,(TM) Time and Materials,,,,,Drew Parada,
27997,Bartow,Troubleshooting Electrical Equipment,Bartow - INV 2A.8  - Offline (Grid Phase Voltage Out of Range - GridV.OutLim),3 - Medium,Alchemy Renewable Energy,"Sep 10, 2023 02:45:00 PM",,Inverter 2A-8 (BART-INV-2A-8),On Deck to be Scheduled,,,"Sep 11, 2023 05:10:22 PM",,"Sep 11, 2023 04:54:10 PM",,(TM) Time and Materials,,"2023-09-11 ADE
Inverter 2A.8 tripped offline with Grid Phase Voltage Out of Range - GridV.OutLim",,,Drew Parada,
27967,Briarwood,Troubleshooting Electrical Equipment,Briarwood - INV A.03 - Offline (Grid Overvoltage),2 - High,Soltage,"Sep 10, 2023 01:30:00 PM",,Inverter A-03 (BRIA-INV-A03),Open,,,"Sep 12, 2023 06:20:49 AM","Juan Canahuati Sagastume, Tim Pierce","Sep 10, 2023 03:03:46 PM",,(TM) Time and Materials,,"2023-09-10 ADE
Inverter 3 tripped offline at 13:30EDT with Grid Overvoltage error.  Based on AC phase voltages, may be an operated AC fuse or breaker.",,,Forrest Huynh,
27995,Quarter Horse,Troubleshooting Electrical Equipment,Quarter Horse - INV B1-06 - Offline,3 - Medium,Pine Gate Renewables,"Sep 10, 2023 12:56:00 PM",,String Inverter B1-06 (QUAR-INV-B1-06),On Hold - Waiting for Client Approval,,,"Sep 11, 2023 02:48:07 PM",,"Sep 11, 2023 02:30:49 PM",,(TM) Time and Materials,,"2023-09-11 ADE
Inverter B1-06 dropped offline 9/10 at 12:56EDT.  No error code reported in DAS.",,,Drew Parada,
27966,"Railroad Solar Farm, LLC",Troubleshooting Electrical Equipment,Railroad - INV 2B - Offline (AC Caps),1 - Urgent,Alchemy Renewable Energy,"Sep 10, 2023 09:08:00 AM",,Inverter 2B (RAIL-INV2B),Open,,,"Sep 11, 2023 09:47:25 AM",Darius Webb,"Sep 10, 2023 11:35:27 AM",INCOMPLETE,(TM) Time and Materials,,"2023-09-11 DWE
-Arrived on site to INV B2 offline
- Took picture of screen faults and codes
- Codes/Faults= PV0020 AC Caps, AC MOV
- Opened Cabinet to look for visual damage 
- 3 of 4 Caps Blown in AC Cabinet 
- 2 of 3 Caps Blown in DC Cabinet
- Caps Part # EPCOS B41458-S8230-M1
- INV 2B Will be left offline until repair is made
  

2023-09-10 ADE
After site outage from grid event (WO 27963), INV 2B remained offline and reported AC Caps error.",,,Drew Parada,
27958,Eagle Point,Troubleshooting Electrical Equipment,Eagle Point - INV 1 - Offline,1 - Urgent,Pine Gate Renewables,"Sep 09, 2023 10:15:00 PM",,Inverter 1 (EAGL-INV1),On Deck to be Scheduled,8.92,,"Sep 11, 2023 01:11:02 PM","Cole Harbick, Performance Engineering","Sep 09, 2023 10:11:15 PM",INCOMPLETE,(TM) Time and Materials,,"2023-09-11 JDA
Arrived on site. found middle breaker not wound.  Mannually wound breaker and restarted inverter.
Inverter started normally. breaker did not wind up again. manually wound breaker for start up Tomorrow morning.
Called SMA to start ticket. Left a voicemail. will try again later.

2023-09-10 CHA
-Tech arrived onsite to find inverter 1 was offline.
-Tech power cycled inverter and found that upon restart the middle DC breaker would not close in.
-Do to tech being alone tech contacted CSS performance engineering and was not able to continue troubleshooting do to safety second not being present.

2023-09-09 ADE
Inverter 1 failed to wake up with peer inverters on 9/8.  No alert reported in DAS.",,,Dylan Barrett,
27989,Briarwood,Troubleshooting Electrical Equipment,Briarwood - INV A.13 - Offline (Islanding),2 - High,Soltage,"Sep 09, 2023 06:00:00 PM",,Inverter A-13 (BRIA-INV-A13),Open,,,"Sep 12, 2023 06:21:19 AM","Juan Canahuati Sagastume, Tim Pierce","Sep 11, 2023 08:18:44 AM",,(TM) Time and Materials,,"2023-09-11 ADE
Inverter A.13 dropped offline 9/9 at 18:00EDT with Islanding fault",,,Forrest Huynh,
27992,Minke,Troubleshooting Electrical Equipment,Minke - INV 18 - Offline (Grid Phase Voltage Out of Range - GridV.OutLim),2 - High,Pine Gate Renewables,"Sep 09, 2023 02:45:00 PM",,Inverter 18 (MINK-INV18),Ready for Review ,,,"Sep 11, 2023 07:10:35 PM",,"Sep 11, 2023 01:59:46 PM",INCOMPLETE,(TM) Time and Materials,,"2023-09-11 LGU
-Techs arrived on site to find inverter 18 throwing a fault light. 
-Techs attached dongle and saw inverter threw a Grid overvoltage fault. 
-Techs removed wire box cover and found each phase had severe burns and charring, especially b phase.
-Techs started an RMA(5582), and are waiting to hear back from CPS.  


2023-09-11 ADE
Minke INV 18 offline with Grid Phase Voltage Out of Range - GridV.OutLim.  Phase voltages suggest likely operation of B-phase AC fuse.  See Files.",,,Dylan Barrett,
27953,Facile Solar,Troubleshooting Electrical Equipment,Facile - INV 1 and 2 (No Comms) - INV 3 (Offline - AC Caps),1 - Urgent,"Green Street Carolinas, LLC","Sep 09, 2023 11:21:00 AM",,"Inverter 1 (LOY-INV1), Inverter 2 (LOY-INV2), Inverter 3 (LOY-INV3)",On Deck to be Scheduled,,,"Sep 11, 2023 08:02:07 PM",,"Sep 09, 2023 02:08:47 PM",INCOMPLETE,(TM) Time and Materials,,"2023-09-11 AJO
-Inverter 3 was found offline with an AC CAPS, AC MOV fault.
-Crew verified good voltage coming out of the power supply for the AC caps and confirmed that the AC caps visually appeared in good condition. 
-The far right F4 160A 690VAC fuse was found operated and replaced but the fault did not clear.
-Crew reached out to Adolfo Cespedes for troubleshooting assistance but he was in meetings and unable to help. Jason Mclain was also contacted but his phone kept going to voicemail as he is traveling for the training he is giving CSS on 9/12.
-Schneider support was contacted as well who said that without being Schneider trained they are not able to give troubleshooting assistance.
-Adolfo Cespedes sent some minor assistance towards the end of the day and said to check the micro switches that are on the AC CAP fuses (All 3 tested good with a continuity check) as well as all surge arrestors (All did not appear to have operated and all plugs to them were removed and reinserted).
-When leaving the site crew stopped by pad 2 to make sure inverters 1 & 2 were on and found both of them offline with nothing present on either HMI as well as the same phase F4 fuse operated in both inverters as well. 
-Issue could be related to an operated bayonet fuse.

2023-09-09 ADE
Communications were lost for INV 1 and 2 shortly preceding AC Caps error reported by INV 3.  INV 3 dropped offline from production, though has continued to communicate.",,,Forrest Huynh,
27947,Adams,Corrective,Update Inverter Firmware per Service Bulletin,3 - Medium,Soltage,"Sep 08, 2023 04:22:00 PM",,AC Switchboard (ADAM-SWBD),On Deck to be Scheduled,,,"Sep 08, 2023 04:24:17 PM",Forrest Huynh,"Sep 08, 2023 04:06:54 PM",,(TM) Time and Materials,,,,,Forrest Huynh,
27946,Faison,Troubleshooting Electrical Equipment,INV 2 offline (Drive Fault - Bus voltage imbalance),1 - Urgent,NESM/Radian Generation,"Sep 08, 2023 03:27:00 PM",,Inverter 2 (FAIS-INV02),Open,,,"Sep 12, 2023 06:22:47 AM","Ivan Hanson, Mark Nashland, Robby Plenge","Sep 08, 2023 04:02:44 PM",INCOMPLETE,(TM) Time and Materials,,"2023-09-11 RPL
Verified that there is a bus balance board along with 3 diodes and some thermal paste all together in Radian inventory. IHA and I actually put eyes on it. 

2023-09-11 RPL
Found inverter 2 with a PV Ground Overcurrent fault. Began by investingating that. 
Found blown L side 3A fuse in DC re-combiner (Replaced with a fuse from the conex, see parts tab. Only one of these left probably time to order some more). 
Replaced fuse and observed DC controls.
Box 2.4N was showing about 350V with all other boxes showing the full 800V.
Tested voltage in box 2.4N
Found relatively solid ~300V from Negative input string to ground (with all negative inputs unlanded) on strings 3 and 4. All other strings decayed quickly from only around 12V or so. 
Investigated strings 3 and 4 visually. Found 1 broken mod on each string with substantial delamination.

Removed 2 modules from an already cannibalized string on box 2.1P and replaced the two bad mods on 2.4N 3/4.
After re-landing feeders and all the negative inputs, and switching all boxes back on, the inverter still showed low voltage on input 4 and now was displaying a Bus Voltage fault. 
Investigated bus balance board and engine diodes. 
Found no problems in the drive section, but 3 bad diodes on the bus balance board and a blown F1 fuse (1000V, 30A standard midget fuse).
See spreadsheet in files tab or in this photos folder link for details: 
https://carolinasolar.sharepoint.com/:x:/s/CAROLINASOLARSERVICES/EbdiAPDukC9IqL5MDo_SPHIBru7qBScjbxmMZbohhjXNgw?e=Y7bzjw

Inverter 2 needs a new bus balance board. 
",,,Forrest Huynh,
27944,Freemont,Corrective,Replace and commission Inv A. ,6 - Scheduled,NESM/Exus,"Sep 08, 2023 02:30:00 PM",,Inverter-A (FREE-INVA),Open,,,"Sep 11, 2023 09:07:28 PM","Forrest Huynh, Kerry McCaslin, Landscaping Crew West","Sep 08, 2023 02:28:41 PM",INCOMPLETE,(OVH) Overhead,,"2023-09-11 KMC
-Arrived onsite at 6am to start deenergizing site. Once site AC GOAB was open AC voltage was verified as off before work began on decommissioning INV A.
-The AC throat connection and other AC connection were unlanded.
-The roof hardware and panels were removed alone with the skid mounting hardware. 
-The DC recombiner ground was cut alone with the cable conduit and DC throat connection. 
-INV arrived around 8am and brought to site with INV unpacking began.
-Crane was onsite a little after 9am and started setting up.
-Truck was backed into site and techs started cutting the create of INV at the bottom so crane could lift the create from the INV.
-Lifting rails were removed from the new INV and installed on old INV. 
-Old INV was lifted and placed between sectionalizer (green box) and modules. No shading of modules was observed throughout day. 
-Lifting rails were removed from old INV and installed back on new INV. 
-New INV was lifted and placed on skid. 
-Techs started commissioning new by installing the hood cover and the AC throat connection and other comms power connections. No-locks grease was placed between the AC connection points. 
-Skid hardware was installed and not torqued at this time. 
-Roof modules were installed and not torqued at this time.
     ",,,Forrest Huynh,
27942,Jersey Solar,Corrective,"UAV Follow Up @ Jersey: 2 CBs Offline (CB 3-2, CB 3-14), 4 Damaged Modules, 1 Failed Modules",3 - Medium,NESM/Exus,"Sep 08, 2023 02:15:00 PM",,Jersey (JERS),On Deck to be Scheduled,0.00,,"Sep 08, 2023 02:15:37 PM",,"Sep 08, 2023 02:12:04 PM",,(OM) O&M Contract,,,,,Alex Luna,
27940,Faison,Corrective,Replace severely rusted CPT boxes: CPT,4 - Low,NESM/Radian Generation,"Sep 08, 2023 02:00:00 PM",,Faison (FAIS),On Deck to be Scheduled,,,"Sep 08, 2023 02:00:50 PM",,"Sep 08, 2023 01:58:06 PM",,(TM) Time and Materials,,,,,Forrest Huynh,
27595,South Robeson,Mow,Mow array and spot spray as needed,6 - Scheduled,NESM/Radian Generation,"Sep 08, 2023 11:00:00 AM",,South Robeson (SOUT.R-VMS),Open,3.02,,"Sep 12, 2023 06:06:46 AM",Landscaping Crew South,"Aug 22, 2023 06:06:13 AM",INCOMPLETE,(OM) O&M Contract,,"2023-09-11 TFE
-mowed under the array, around combiner boxes, common area's, and roads.
-site mow is not complete.",,,Drew Parada,
27993,Rose Acre Solar Energy Storage,Corrective,Procure and install 5 each SQUARED HLA36150 breakers,6 - Scheduled,Azimuth,"Sep 08, 2023 10:24:00 AM",,Rose Acre Solar Energy Storage (ROSE),On Hold - Awaiting Parts,,,"Sep 12, 2023 08:17:52 AM",,"Sep 11, 2023 02:23:40 PM",,(TM) Time and Materials,,"2023-09-12 DPA
-reached out to CE to have breakers ready for pick up
-PO 1817 has been created and sent for approval
-approval received, PO sent to CE 

2023-09-12 DPA
-response from Scott
-Sorry Drew, I was on an airplane or in the field all day today. Yes, we would like for you guys to provide, and install the five breakers. Azimuth will be paying for this.

2023-09-11 DPA
-requested clarification from Scott on who was being invoiced for the breakers and labor

2023-09-11 DPA
-email from Scott asking to proceed
-Per our conversation please schedule this work for Wednesday. Thanks.
Scott Naeger 
Azimuth Energy
573.702.4152

2023-09-08 DPA
-quote received ,uploaded from CE and passed on to Scott for approval

2023-09-08 DPA
-email from Scott
-Drew,
We need to get the five circuit breakers mentioned below replaced. I'm trying to get Square D to do it under warranty, but I doubt they will at this point. Please let me know your cost to provide, and install the five breakers. And let me know when you can do it based on leadtimes. Thank you. 
Scott Naeger 
Azimuth Energy
573.702.4152",,,Drew Parada,
27932,Briarwood,Performance Engineering ,Briarwood - Site Recloser - Opened and Closed,1 - Urgent,Soltage,"Sep 07, 2023 10:02:00 PM",,Briarwood (BRIA),Internal Action Needed - PE,0.25,,"Sep 07, 2023 11:09:36 PM",Andrea De Jesus,"Sep 07, 2023 10:56:13 PM",,(OM) O&M Contract,,"2023-09-07 ADE
Site recloser opened accidentally at 22:02EDT.  Recloser is accessible remotely, grid voltage stable, but recloser would not accept target reset nor close command initially.  Recloser was able to be closed remotely after sending an additional trip command at 23:07EDT.",,,Catherine Ambrose,
27927,Quarter Horse,Troubleshooting Electrical Equipment,Inverter A1-19 offline,3 - Medium,Pine Gate Renewables,"Sep 07, 2023 01:40:00 PM",,String Inverter A1-19 (QUAR-INV-A1-19),On Hold - Waiting for Client Approval,,,"Sep 07, 2023 04:40:00 PM",,"Sep 07, 2023 04:35:24 PM",,(TM) Time and Materials,,,,,Drew Parada,
